,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_115,337,1211.184,1197.522,1174.746,1143.029,1102.613,1053.805,996.978,932.563,861.050,782.984,698.960,609.615,515.632,417.724,316.637,213.140,108.021,2.080,-103.877
Fz_116,338,1212.793,1221.739,1221.386,1211.739,1192.869,1164.920,1128.106,1082.706,1029.066,967.595,898.759,823.083,741.143,653.563,561.008,464.184,363.828,260.702,155.592
Fz_117,339,797.998,739.032,674.442,604.719,530.394,452.032,370.230,285.610,198.817,110.510,21.362,-67.948,-156.741,-244.341,-330.082,-413.310,-493.393,-569.721,-641.713
Fz_118,340,1190.783,1095.235,991.352,879.923,761.798,637.875,509.098,376.446,240.929,103.578,-34.561,-172.437,-309.000,-443.212,-574.051,-700.521,-821.659,-936.544,-1044.302
Fz_119,341,1098.912,994.705,882.928,764.431,640.116,510.930,377.855,241.905,104.113,-34.471,-172.793,-309.799,-444.448,-575.714,-702.599,-824.136,-939.402,-1047.518,-1147.661
Fz_120,342,1078.888,954.684,823.214,685.479,542.528,395.447,245.357,93.399,-59.269,-211.486,-362.094,-509.946,-653.917,-792.911,-925.871,-1051.784,-1169.693,-1278.699,-1377.974
Fz_121,343,479.593,487.849,492.393,493.189,490.232,483.544,473.176,459.206,441.742,420.916,396.886,369.836,339.972,307.519,272.727,235.859,197.196,157.032,115.672
Fz_122,407,694.825,693.169,686.238,674.084,656.800,634.518,607.406,575.671,539.556,499.334,455.312,407.824,357.233,303.923,248.300,190.787,131.823,71.855,11.340
Fz_123,408,845.720,848.074,843.974,833.450,816.583,793.502,764.381,729.444,688.954,643.222,592.594,537.456,478.228,415.360,349.331,280.643,209.819,137.399,63.933
Fz_124,409,892.372,899.995,900.769,894.687,881.796,862.195,836.031,803.505,764.863,720.401,670.456,615.408,555.677,491.716,424.014,353.084,279.467,203.723,126.429
Fz_125,410,1137.447,1145.056,1143.952,1134.141,1115.698,1088.765,1053.545,1010.307,959.380,901.152,836.065,764.615,687.347,604.847,517.744,426.700,332.409,235.588,136.974
Fz_126,411,1190.622,1148.402,1097.441,1038.129,970.916,896.314,814.890,727.264,634.103,536.117,434.050,328.680,220.809,111.257,0.858,-109.547,-219.119,-327.023,-432.438
